question,sql
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
Find minimum category in products,SELECT MIN(category) FROM products;
Find all records in orders where order_id <= 90,SELECT * FROM orders WHERE order_id <= 90;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Show all employees ordered by name,SELECT * FROM employees ORDER BY name;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Find maximum price in products,SELECT MAX(price) FROM products;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find average name in employees,SELECT AVG(name) FROM employees;
List all age from customers,SELECT age FROM customers;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Show department from students where department < 20,SELECT department FROM students WHERE department < 20;
List all name from customers,SELECT name FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in customers where age >= 50,SELECT * FROM customers WHERE age >= 50;
Show name from students where marks = 70,SELECT name FROM students WHERE marks = 70;
Find maximum category in products,SELECT MAX(category) FROM products;
Find maximum id in employees,SELECT MAX(id) FROM employees;
List all product_id from products,SELECT product_id FROM products;
List all customer_id from customers,SELECT customer_id FROM customers;
Show id from students where id > 40,SELECT id FROM students WHERE id > 40;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show department from employees where salary < 100,SELECT department FROM employees WHERE salary < 100;
Find all records in employees where id >= 40,SELECT * FROM employees WHERE id >= 40;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Find all records in products where product_id > 40,SELECT * FROM products WHERE product_id > 40;
Show salary from employees where name < 50,SELECT salary FROM employees WHERE name < 50;
Show age from students where id = 50,SELECT age FROM students WHERE id = 50;
Find average name in customers,SELECT AVG(name) FROM customers;
Show age from customers where customer_id <= 10,SELECT age FROM customers WHERE customer_id <= 10;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Show category from products where product_id >= 100,SELECT category FROM products WHERE product_id >= 100;
Find maximum category in products,SELECT MAX(category) FROM products;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Show name from products where name = 80,SELECT name FROM products WHERE name = 80;
Show all orders,SELECT * FROM orders;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Find average department in students,SELECT AVG(department) FROM students;
Find maximum id in students,SELECT MAX(id) FROM students;
Find all records in employees where name = 30,SELECT * FROM employees WHERE name = 30;
Find average category in products,SELECT AVG(category) FROM products;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
Find minimum id in students,SELECT MIN(id) FROM students;
Find average category in products,SELECT AVG(category) FROM products;
Show all customers,SELECT * FROM customers;
Show all customers,SELECT * FROM customers;
Find minimum department in employees,SELECT MIN(department) FROM employees;
List all name from products,SELECT name FROM products;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find all records in orders where amount = 40,SELECT * FROM orders WHERE amount = 40;
Show category from products where name > 60,SELECT category FROM products WHERE name > 60;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find minimum category in products,SELECT MIN(category) FROM products;
List all id from students,SELECT id FROM students;
Show all customers ordered by city,SELECT * FROM customers ORDER BY city;
Find average id in employees,SELECT AVG(id) FROM employees;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find average city in customers,SELECT AVG(city) FROM customers;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
List all amount from orders,SELECT amount FROM orders;
Find all records in orders where amount <= 80,SELECT * FROM orders WHERE amount <= 80;
List all status from orders,SELECT status FROM orders;
Find all records in products where name = 10,SELECT * FROM products WHERE name = 10;
Find maximum price in products,SELECT MAX(price) FROM products;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find all records in customers where age > 30,SELECT * FROM customers WHERE age > 30;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Find average marks in students,SELECT AVG(marks) FROM students;
Find all records in customers where name > 70,SELECT * FROM customers WHERE name > 70;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Show name from customers where city > 40,SELECT name FROM customers WHERE city > 40;
Show all products,SELECT * FROM products;
Find all records in orders where order_id < 10,SELECT * FROM orders WHERE order_id < 10;
Show price from products where name < 60,SELECT price FROM products WHERE name < 60;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Show customer_id from customers where name > 80,SELECT customer_id FROM customers WHERE name > 80;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all employees,SELECT * FROM employees;
Show all employees,SELECT * FROM employees;
Find all records in orders where amount <= 80,SELECT * FROM orders WHERE amount <= 80;
Find maximum id in students,SELECT MAX(id) FROM students;
Find all records in customers where age < 70,SELECT * FROM customers WHERE age < 70;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
List all customer_id from orders,SELECT customer_id FROM orders;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find average department in employees,SELECT AVG(department) FROM employees;
Show age from employees where age < 40,SELECT age FROM employees WHERE age < 40;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in employees where age >= 60,SELECT * FROM employees WHERE age >= 60;
Find all records in students where department >= 50,SELECT * FROM students WHERE department >= 50;
List all product_id from products,SELECT product_id FROM products;
Show name from students where name > 10,SELECT name FROM students WHERE name > 10;
Show product_id from products where stock <= 80,SELECT product_id FROM products WHERE stock <= 80;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
List all city from customers,SELECT city FROM customers;
Show all orders,SELECT * FROM orders;
Find all records in products where price > 10,SELECT * FROM products WHERE price > 10;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find minimum customer_id in customers,SELECT MIN(customer_id) FROM customers;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Find all records in customers where city > 60,SELECT * FROM customers WHERE city > 60;
List all department from students,SELECT department FROM students;
List all name from products,SELECT name FROM products;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find average name in employees,SELECT AVG(name) FROM employees;
